
Generating: '/home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py'

Executing: /usr/bin/python2 -u /home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py

i = 0, real = 0, imag = 0
i = 1, real = 16, imag = 0
i = 2, real = 0, imag = 16
i = 3, real = 16, imag = 16
i = 4, real = 8, imag = 32
i = 5, real = 24, imag = 32
i = 6, real = 8, imag = 48
i = 7, real = 24, imag = 48
i = 8, real = 16, imag = 8
i = 9, real = 32, imag = 8
i = 10, real = 16, imag = 24
i = 11, real = 32, imag = 24
i = 12, real = 24, imag = 40
i = 13, real = 40, imag = 40
i = 14, real = 24, imag = 56
i = 15, real = 40, imag = 56
i = 16, real = 36, imag = 16
i = 17, real = 52, imag = 16
i = 18, real = 36, imag = 32
i = 19, real = 52, imag = 32
i = 20, real = 44, imag = 48
i = 21, real = 60, imag = 48
i = 22, real = 44, imag = 64
i = 23, real = 60, imag = 64
i = 24, real = 52, imag = 24
i = 25, real = 68, imag = 24
i = 26, real = 52, imag = 40
i = 27, real = 68, imag = 40
i = 28, real = 60, imag = 56
i = 29, real = 76, imag = 56
i = 30, real = 60, imag = 72
i = 31, real = 76, imag = 72
i = 32, real = 8, imag = 36
i = 33, real = 24, imag = 36
i = 34, real = 8, imag = 52
i = 35, real = 24, imag = 52
i = 36, real = 16, imag = 68
i = 37, real = 32, imag = 68
i = 38, real = 16, imag = 84
i = 39, real = 32, imag = 84
i = 40, real = 24, imag = 44
i = 41, real = 40, imag = 44
i = 42, real = 24, imag = 60
i = 43, real = 40, imag = 60
i = 44, real = 32, imag = 76
i = 45, real = 48, imag = 76
i = 46, real = 32, imag = 92
i = 47, real = 48, imag = 92
i = 48, real = 44, imag = 52
i = 49, real = 60, imag = 52
i = 50, real = 44, imag = 68
i = 51, real = 60, imag = 68
i = 52, real = 52, imag = 84
i = 53, real = 68, imag = 84
i = 54, real = 52, imag = 100
i = 55, real = 68, imag = 100
i = 56, real = 60, imag = 60
i = 57, real = 76, imag = 60
i = 58, real = 60, imag = 76
i = 59, real = 76, imag = 76
i = 60, real = 68, imag = 92
i = 61, real = 84, imag = 92
